wl,ref_1,GaAs_1,wl_bg,bg_1,ref_2,GaAs_2,bg_2
702.4,3.215338,-0.018524,702.4,-0.022143,3.208759,-0.013918,-0.012602
702.42,3.214351,-0.012602,702.42,-0.012274,3.207114,-0.01326,-0.01326
702.44,3.21172,-0.016879,702.44,-0.011945,3.20514,-0.009642,-0.015892
702.46,3.210075,-0.022801,702.46,-0.017208,3.207114,-0.010958,-0.012931
702.48,3.21468,-0.017866,702.48,-0.013918,3.208759,-0.010629,-0.012931
702.5,3.208759,-0.018524,702.5,-0.017866,3.199218,-0.017208,-0.011616
702.52,3.209088,-0.016221,702.52,-0.014576,3.20514,-0.008655,-0.014576
702.54,3.213036,-0.031354,702.54,-0.01984,3.202508,-0.010958,-0.013918
702.56,3.213365,-0.020169,702.56,-0.01655,3.204482,-0.012931,-0.011945
702.58,3.211391,-0.014576,702.58,-0.014905,3.213036,-0.002075,-0.020827
702.6,3.210075,-0.007339,702.6,-0.017866,3.200205,-0.017866,-0.014576
702.62,3.216325,-0.018524,702.62,-0.020498,3.1956,-0.013589,-0.015234
702.64,3.21468,-0.015892,702.64,-0.017208,3.221589,-0.010629,-0.011616
702.66,3.216983,-0.017208,702.66,-0.006352,3.207772,-0.009971,-0.019182
702.68,3.216325,-0.017208,702.68,-0.017866,3.208101,-0.01326,-0.01655
702.7,3.216983,-0.010629,702.7,-0.044513,3.204153,-0.007339,-0.018195
702.72,3.216983,-0.017208,702.72,-0.016879,3.211062,-0.015563,-0.033328
702.74,3.215667,-0.016879,702.74,-0.017866,3.208759,-0.009642,-0.017537
702.76,3.21468,-0.018524,702.76,-0.015234,3.204811,-0.009642,-0.026749
702.78,3.20185,-0.014576,702.78,-0.014576,3.204153,-0.015563,-0.017208
702.8,3.217312,-0.01655,702.8,-0.041224,3.206785,-0.003391,-0.021485
702.82,3.215996,-0.009642,702.82,-0.027407,3.203824,-0.014576,-0.014247
702.84,3.216654,-0.01326,702.84,-0.017208,3.208759,-0.020498,-0.025104
702.86,3.220931,-0.011616,702.86,-0.010958,3.202508,-0.012602,-0.021156
702.88,3.217312,-0.01655,702.88,-0.014247,3.204811,-0.00701,-0.019182
702.9,3.219286,-0.014576,702.9,-0.014247,3.204811,-0.010629,-0.014576
702.92,3.215338,-0.023788,702.92,-0.018195,3.203824,-0.004049,-0.02313
702.94,3.213365,-0.015892,702.94,-0.011616,3.206456,-0.017866,-0.027407
702.96,3.224221,-0.017866,702.96,-0.021156,3.197245,-0.015234,-0.020169
702.98,3.214351,-0.020498,702.98,-0.001746,3.204811,-0.041224,-0.011945
703,3.21468,-0.018195,703,-0.022801,3.204482,-0.011287,-0.016879
703.02,3.210733,-0.013918,703.02,-0.015892,3.202179,-0.009971,-0.04879
703.04,3.210733,-0.012274,703.04,-0.013918,3.199876,-0.013589,-0.038263
703.06,3.212378,-0.018853,703.06,-0.009642,3.204811,-0.017866,-0.014576
703.08,3.207772,-0.013589,703.08,-0.016221,3.20185,-0.014905,-0.013918
703.1,3.209417,-0.030038,703.1,-0.011287,3.204811,-0.011616,-0.011945
703.12,3.21468,-0.024775,703.12,-0.019511,3.201192,-0.01984,-0.023459
703.14,3.218628,-0.010958,703.14,-0.05208,3.200205,-0.009313,-0.053396
703.16,3.217641,-0.019511,703.16,-0.01655,3.198889,-0.014905,-0.00701
703.18,3.217641,-0.014905,703.18,-0.019511,3.202508,-0.011945,-0.012602
703.2,3.215009,-0.017537,703.2,-0.016879,3.200205,-0.026091,-0.012931
703.22,3.214023,-0.013589,703.22,-0.01984,3.204153,-0.0103,-0.012931
703.24,3.213694,-0.014247,703.24,-0.015234,3.204153,-0.007997,-0.013918
703.26,3.210404,-0.020169,703.26,-0.011287,3.202837,-0.02313,-0.012602
703.28,3.215338,-0.017537,703.28,-0.016221,3.205469,-0.011616,-0.018195
703.3,3.212707,-0.015234,703.3,-0.019511,3.202179,-0.030038,-0.01655
703.32,3.21797,-0.00701,703.32,-0.022143,3.203495,-0.014247,-0.01326
703.34,3.211062,-0.014905,703.34,-0.01326,3.204482,-0.010629,-0.012602
703.36,3.210733,-0.010958,703.36,-0.014905,3.204153,-0.023459,-0.021485
703.38,3.217641,-0.03267,703.38,-0.01326,3.204482,-0.014905,-0.013589
703.4,3.215996,-0.015563,703.4,-0.017208,3.192968,-0.009642,-0.021485
703.42,3.215009,-0.018524,703.42,-0.021156,3.209088,-0.012602,-0.014905
703.44,3.206127,-0.02313,703.44,-0.019511,3.205469,-0.012602,-0.039908
703.46,3.21468,-0.015234,703.46,-0.014905,3.213036,-0.012274,-0.011287
703.48,3.213694,-0.053396,703.48,-0.018524,3.210733,-0.011945,-0.012274
703.5,3.21468,-0.015563,703.5,-0.015563,3.20514,-0.014905,-0.022472
703.52,3.21797,-0.016221,703.52,-0.019511,3.20185,-0.01326,-0.030367
703.54,3.215338,-0.020827,703.54,-0.012274,3.198889,-0.007339,-0.014576
703.56,3.21468,-0.01326,703.56,-0.015563,3.200205,-0.015234,-0.016879
703.58,3.212378,-0.010958,703.58,-0.013589,3.200534,-0.011287,-0.014905
703.6,3.20843,-0.016221,703.6,-0.014576,3.203495,-0.007997,-0.023788
703.62,3.213036,-0.014905,703.62,-0.013589,3.197574,-0.01326,-0.019511
703.64,3.214351,-0.017866,703.64,-0.015234,3.197245,-0.016221,-0.020498
703.66,3.217641,-0.019511,703.66,-0.017866,3.199876,-0.021485,-0.01655
703.68,3.212049,-0.015563,703.68,-0.022472,3.205469,-0.007668,-0.013918
703.7,3.210075,-0.013918,703.7,-0.011616,3.202179,-0.01326,-0.01326
703.72,3.219944,-0.016879,703.72,-0.014247,3.20185,-0.016879,-0.01655
703.74,3.213036,-0.012274,703.74,-0.016879,3.203166,-0.011945,-0.01326
703.76,3.21468,-0.01326,703.76,-0.020827,3.183099,-0.015563,-0.016879
703.78,3.216983,-0.011616,703.78,-0.013589,3.203166,-0.011287,-0.01326
703.8,3.212378,-0.01984,703.8,-0.016879,3.20185,-0.009971,-0.016221
703.82,3.212707,-0.011945,703.82,-0.014576,3.200534,-0.009971,-0.015234
703.84,3.213365,-0.018524,703.84,-0.027078,3.197903,-0.005365,-0.018524
703.86,3.215009,-0.017537,703.86,-0.021156,3.202508,-0.015892,-0.009313
703.88,3.218957,-0.01984,703.88,-0.018524,3.202837,-0.011945,-0.019182
703.9,3.218628,-0.015234,703.9,-0.014905,3.20185,-0.017866,-0.017208
703.92,3.215338,-0.012602,703.92,-0.014905,3.202837,-0.031354,-0.010958
703.94,3.218628,-0.01655,703.94,-0.014576,3.204811,-0.010629,-0.013589
703.96,3.214351,-0.014576,703.96,-0.013918,3.197245,-0.007668,-0.021814
703.98,3.215009,-0.014247,703.98,-0.017537,3.200534,-0.021485,-0.018853
704,3.21797,-0.017537,704,-0.017208,3.197574,-0.041882,-0.011616
704.02,3.217641,-0.014247,704.02,-0.016221,3.203166,-0.005694,-0.021156
704.04,3.215996,-0.014905,704.04,-0.017537,3.199547,-0.016221,-0.014905
704.06,3.216654,-0.020169,704.06,-0.021485,3.194942,-0.003391,-0.013589
704.08,3.213694,-0.017208,704.08,-0.019182,3.200205,-0.009313,-0.018853
704.1,3.208101,-0.01984,704.1,-0.015892,3.199218,-0.012274,-0.017537
704.12,3.216654,-0.018853,704.12,-0.02642,3.198232,-0.008655,-0.016221
704.14,3.220931,-0.015234,704.14,-0.020169,3.195929,-0.010629,-0.020169
704.16,3.213036,-0.022143,704.16,-0.015892,3.197574,-0.02938,-0.01984
704.18,3.217641,-0.015563,704.18,-0.011945,3.201192,-0.01326,-0.012931
704.2,3.212378,-0.020498,704.2,-0.020169,3.196258,-0.055699,-0.016221
704.22,3.216654,-0.019182,704.22,-0.015892,3.194613,-0.01326,-0.01984
704.24,3.21468,-0.01655,704.24,-0.010958,3.20185,-0.008984,-0.011616
704.26,3.212378,-0.021814,704.26,-0.01984,3.197574,-0.016221,-0.0103
704.28,3.20843,-0.021485,704.28,-0.036618,3.204153,-0.011287,-0.011616
704.3,3.206785,-0.027736,704.3,-0.010958,3.199547,-0.013918,-0.014576
704.32,3.210733,-0.01655,704.32,-0.027407,3.200205,-0.015234,-0.018524
704.34,3.209417,-0.017537,704.34,-0.013589,3.196916,-0.00701,-0.006023
704.36,3.209746,-0.018853,704.36,-0.012602,3.1956,-0.011616,-0.019511
704.38,3.204153,-0.013918,704.38,-0.01326,3.20185,-0.01326,-0.020827
704.4,3.208759,-0.017537,704.4,-0.015892,3.199547,-0.009971,-0.018195
704.42,3.206785,-0.020498,704.42,-0.017537,3.200863,-0.016221,-0.017866
704.44,3.208101,-0.049119,704.44,-0.021156,3.201521,-0.009642,-0.018195
704.46,3.210075,-0.015563,704.46,-0.015892,3.204153,-0.009971,-0.018195
704.48,3.209088,-0.025104,704.48,-0.012931,3.196258,-0.031025,-0.015234
