wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
401.32,0.044969,563.3,0.689994,613.3,0.771326,-0.030038,0.443018,0.953622,-0.023459,-0.025433,-0.044303,-0.068858
401.34,0.036744,563.35,0.692571,613.35,0.773963,-0.028393,0.444402,0.95572,-0.021156,-0.024775,-0.0434,-0.048132
401.36,0.04135,563.4,0.690278,613.4,0.773289,-0.028064,0.441223,0.956593,-0.023459,-0.028393,-0.045308,-0.04879
401.38,0.036086,563.45,0.692044,613.45,0.770341,-0.049119,0.44246,0.956938,-0.021814,-0.03267,-0.04525,-0.043855
401.4,0.039047,563.5,0.690965,613.5,0.774923,-0.031025,0.44097,0.954998,-0.021485,-0.026091,-0.043948,-0.043527
401.42,0.043653,563.55,0.692276,613.55,0.77306,-0.024775,0.443818,0.960549,-0.024775,-0.030367,-0.043721,-0.046487
401.44,0.042666,563.6,0.691484,613.6,0.772918,-0.031683,0.443289,0.960512,-0.022801,-0.030696,-0.043303,-0.057673
401.46,0.04464,563.65,0.693223,613.65,0.773526,-0.027078,0.443315,0.958901,-0.017537,-0.022143,-0.043974,-0.047803
401.48,0.042995,563.7,0.691847,613.7,0.772815,-0.031354,0.442525,0.959254,-0.024446,-0.025433,-0.043442,-0.046158
401.5,0.029178,563.75,0.692421,613.75,0.773428,-0.029709,0.44467,0.959791,-0.024446,-0.033986,-0.042621,-0.046487
401.52,0.042008,563.8,0.689931,613.8,0.774478,-0.030038,0.442397,0.95922,-0.024775,-0.026091,-0.045087,-0.044184
401.54,0.043982,563.85,0.691363,613.85,0.776142,-0.028722,0.44137,0.960775,-0.02313,-0.03267,-0.04549,-0.048132
401.56,0.044969,563.9,0.691747,613.9,0.77311,-0.031683,0.443228,0.959357,-0.022143,-0.028722,-0.044242,-0.047474
401.58,0.049246,563.95,0.693165,613.95,0.773463,-0.02938,0.44296,0.960488,-0.023459,-0.025433,-0.045879,-0.047145
401.6,0.04135,564,0.69206,614,0.77465,-0.030038,0.443726,0.960881,-0.025104,-0.029709,-0.045485,-0.044513
401.62,0.044311,564.05,0.692023,614.05,0.774194,-0.030367,0.442018,0.962073,-0.022143,-0.027736,-0.04505,-0.046816
401.64,0.045298,564.1,0.69137,614.1,0.773402,-0.032341,0.444894,0.963718,-0.027736,-0.028722,-0.046432,-0.050106
401.66,0.043324,564.15,0.690957,614.15,0.77561,-0.028064,0.443918,0.964694,-0.025104,-0.027736,-0.046561,-0.04879
401.68,0.043653,564.2,0.691578,614.2,0.773797,-0.029709,0.445347,0.964589,-0.020827,-0.028393,-0.047332,-0.0455
401.7,0.025559,564.25,0.690547,614.25,0.774018,-0.032012,0.444597,0.963544,-0.023459,-0.027736,-0.047698,-0.048132
401.72,0.043653,564.3,0.691613,614.3,0.774692,-0.026749,0.445286,0.966434,-0.024117,-0.030038,-0.047903,-0.04879
401.74,0.042337,564.35,0.692315,614.35,0.774165,-0.023788,0.445939,0.968065,-0.02313,-0.027407,-0.046756,-0.046816
401.76,0.04135,564.4,0.692681,614.4,0.776347,-0.028393,0.447363,0.969171,-0.038921,-0.028393,-0.046416,-0.046487
401.78,0.039376,564.45,0.690941,614.45,0.774707,-0.026749,0.44641,0.96911,-0.043855,-0.032012,-0.04579,-0.045171
401.8,0.040034,564.5,0.692105,614.5,0.776042,-0.031025,0.447997,0.968658,-0.025104,-0.035631,-0.046424,-0.048132
401.82,0.032797,564.55,0.692323,614.55,0.77585,-0.030038,0.447915,0.97215,-0.025762,-0.029051,-0.046408,-0.047145
401.84,0.040692,564.6,0.691644,614.6,0.776,-0.042211,0.447497,0.969908,-0.022143,-0.031354,-0.045743,-0.047474
401.86,0.043982,564.65,0.693205,614.65,0.776592,-0.028722,0.447621,0.972879,-0.01984,-0.028722,-0.045598,-0.047145
401.88,0.043982,564.7,0.694834,614.7,0.775492,-0.030038,0.447313,0.971679,-0.021814,-0.025433,-0.045329,-0.044184
401.9,0.044311,564.75,0.69396,614.75,0.775468,-0.029051,0.449016,0.971397,-0.026091,-0.032999,-0.045958,-0.046487
401.92,0.04135,564.8,0.694337,614.8,0.774778,-0.030696,0.445965,0.972253,-0.020169,-0.028393,-0.046024,-0.047474
401.94,0.042995,564.85,0.694168,614.85,0.773713,-0.031354,0.450313,0.971992,-0.023788,-0.028393,-0.045832,-0.046816
401.96,0.039705,564.9,0.69465,614.9,0.774626,-0.029709,0.449821,0.973955,-0.017866,-0.032012,-0.04594,-0.047474
401.98,0.043982,564.95,0.696171,614.95,0.773463,-0.028722,0.45056,0.974042,-0.024117,-0.036947,-0.045848,-0.05208
402,0.043324,565,0.695255,615,0.7748,-0.028722,0.448997,0.974029,-0.023788,-0.030038,-0.047922,-0.044842
402.02,0.045956,565.05,0.696666,615.05,0.774123,-0.028064,0.449605,0.975016,-0.024117,-0.030038,,-0.051422
402.04,0.043653,565.1,0.696179,615.1,0.772365,-0.031683,0.448908,0.976937,-0.018853,-0.030367,,-0.050106
402.06,0.045627,565.15,0.694413,615.15,0.77541,-0.02938,0.44851,0.978388,-0.021485,-0.027407,,-0.039908
402.08,0.052864,565.2,0.693294,615.2,0.774547,-0.030696,0.449147,0.980964,-0.021156,-0.029709,,-0.043855
402.1,0.04793,565.25,0.6957,615.25,0.774971,-0.029051,0.450079,0.982269,-0.023788,-0.032999,,-0.041224
402.12,0.042666,565.3,0.69526,615.3,0.775426,-0.028064,0.449534,0.98313,-0.024117,-0.027736,,-0.043527
402.14,0.042995,565.35,0.6977,615.35,0.77521,-0.030038,0.449247,0.982133,-0.020827,-0.028064,,-0.04879
402.16,0.043982,565.4,0.695389,615.4,0.776455,-0.037934,0.453153,0.985783,-0.022472,-0.040895,,-0.045829
402.18,0.045627,565.45,0.696097,615.45,0.775297,-0.028064,0.453182,0.987194,-0.021814,-0.042211,,-0.042869
402.2,0.036086,565.5,0.697066,615.5,0.775386,-0.027078,0.453021,0.98483,-0.025433,-0.028722,,-0.045829
402.22,0.039705,565.55,0.696384,615.55,0.775242,-0.032999,0.452179,0.986107,-0.025104,-0.025762,,-0.046487
402.24,0.036415,565.6,0.696384,615.6,0.774668,-0.030696,0.450674,0.987999,-0.01326,-0.027078,,-0.048461
402.26,0.04135,565.65,0.697834,615.65,0.774944,-0.028393,0.450947,0.98906,-0.020827,-0.029709,,-0.0455
402.28,0.042666,565.7,0.696731,615.7,0.774986,-0.02642,0.451537,0.991044,-0.024775,-0.033657,,-0.043527
402.3,0.042995,565.75,0.697366,615.75,0.773615,-0.036947,0.451253,0.988707,-0.021485,-0.02938,,-0.046487
402.32,0.044311,565.8,0.695842,615.8,0.775976,-0.028064,0.45314,0.990039,-0.022472,-0.02938,,-0.046487
402.34,0.044311,565.85,0.697021,615.85,0.776158,-0.030367,0.453748,0.992731,-0.020498,-0.02642,,-0.046487
402.36,0.043653,565.9,0.696242,615.9,0.7752,-0.025762,0.451982,0.992926,-0.022143,-0.029709,,-0.043855
402.38,0.042666,565.95,0.696763,615.95,0.775329,-0.027736,0.453624,0.992402,-0.022143,-0.044184,,-0.046158
402.4,0.047601,566,0.697458,616,0.775839,-0.028064,0.453277,0.991855,-0.024117,-0.027078,,-0.050764
402.42,0.045298,566.05,0.697079,616.05,0.772805,-0.029709,0.452429,0.990989,-0.022143,-0.029051,,-0.045829
402.44,0.046614,566.1,0.697687,616.1,0.776123,-0.036618,0.453603,0.99047,-0.022143,-0.028722,,-0.048132
402.46,0.040034,566.15,0.696982,616.15,0.776726,-0.028722,0.454956,0.987209,-0.022801,-0.024775,,-0.045829
402.48,0.042995,566.2,0.695297,616.2,0.776086,-0.03267,0.454161,0.991449,-0.025433,-0.029709,,-0.046816
402.5,0.047272,566.25,0.695316,616.25,0.775863,-0.02938,0.455898,0.990444,-0.01984,-0.025433,,-0.047145
