TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:34:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	0.00063
MAXY	0.26972
MINY	0.00051
XYDATA
471.8000	0.05133
471.6000	0.05128
471.4000	0.05111
471.2000	0.05127
471.0000	0.05133
470.8000	0.05096
470.6000	0.05096
470.4000	0.05111
470.2000	0.05108
470.0000	0.05082
469.8000	0.05082
469.6000	0.05077
469.4000	0.05062
469.2000	0.05072
469.0000	0.05054
468.8000	0.05044
468.6000	0.0506
468.4000	0.05054
468.2000	0.0503
468.0000	0.05013
467.8000	0.05021
467.6000	0.05024
467.4000	0.04981
467.2000	0.04957
467.0000	0.04978
466.8000	0.04981
466.6000	0.04965
466.4000	0.04961
466.2000	0.04948
466.0000	0.04951
465.8000	0.04947
465.6000	0.04926
465.4000	0.0491
465.2000	0.04903
465.0000	0.04898
464.8000	0.04889
464.6000	0.04882
464.4000	0.04872
464.2000	0.04848
464.0000	0.04846
463.8000	0.04854
463.6000	0.04832
463.4000	0.04844
463.2000	0.04805
463.0000	0.04768
462.8000	0.0481
462.6000	0.04808
462.4000	0.0478
462.2000	0.04753
462.0000	0.04739
461.8000	0.04767
461.6000	0.04761
461.4000	0.04712
461.2000	0.04723
461.0000	0.04714
460.8000	0.047
460.6000	0.04693
460.4000	0.04676
460.2000	0.04682
460.0000	0.04666
459.8000	0.04656
459.6000	0.04681
459.4000	0.04672
459.2000	0.04639
459.0000	0.04636
458.8000	0.04643
458.6000	0.04619
458.4000	0.04602
458.2000	0.04605
458.0000	0.04594
457.8000	0.04604
457.6000	0.04601
457.4000	0.04584
457.2000	0.04565
457.0000	0.04548
456.8000	0.04561
456.6000	0.04552
456.4000	0.04546
456.2000	0.04549
456.0000	0.04554
455.8000	0.04537
455.6000	0.04493
455.4000	0.04511
455.2000	0.04538
455.0000	0.04514
454.8000	0.04493
454.6000	0.04493
454.4000	0.04489
454.2000	0.04486
454.0000	0.04494
453.8000	0.04485
453.6000	0.04452
453.4000	0.04457
453.2000	0.04472
453.0000	0.04465
452.8000	0.04456
452.6000	0.04478
452.4000	0.04468
452.2000	0.04425
452.0000	0.04442
451.8000	0.04439
451.6000	0.04414
451.4000	0.04424
451.2000	0.04448
451.0000	0.04456
450.8000	0.04424
450.6000	0.04405
450.4000	0.04413
450.2000	0.04422
450.0000	0.04434
449.8000	0.04411
449.6000	0.04395
449.4000	0.04397
449.2000	0.04385
449.0000	0.04408
448.8000	0.04423
448.6000	0.04407
448.4000	0.04408
448.2000	0.04416
448.0000	0.04437
447.8000	0.04439
447.6000	0.04427
447.4000	0.04407
447.2000	0.04408
447.0000	0.04453
446.8000	0.04465
446.6000	0.04461
446.4000	0.04476
446.2000	0.04482
446.0000	0.04491
445.8000	0.04508
445.6000	0.04531
445.4000	0.04529
445.2000	0.04529
445.0000	0.04563
444.8000	0.04581
444.6000	0.04584
444.4000	0.04599
444.2000	0.04635
444.0000	0.04644
443.8000	0.04633
443.6000	0.04663
443.4000	0.04674
443.2000	0.047
443.0000	0.04763
442.8000	0.04773
442.6000	0.04784
442.4000	0.04828
442.2000	0.04859
442.0000	0.04906
441.8000	0.0495
441.6000	0.0496
441.4000	0.04995
441.2000	0.05036
441.0000	0.05085
440.8000	0.05136
440.6000	0.05205
440.4000	0.05251
440.2000	0.0527
440.0000	0.05315
439.8000	0.05379
439.6000	0.05438
439.4000	0.05479
439.2000	0.05546
439.0000	0.05611
438.8000	0.05679
438.6000	0.05765
438.4000	0.05826
438.2000	0.05887
438.0000	0.05958
437.8000	0.06034
437.6000	0.06102
437.4000	0.06165
437.2000	0.06274
437.0000	0.06384
436.8000	0.06446
436.6000	0.0651
436.4000	0.06603
436.2000	0.06694
436.0000	0.06814
435.8000	0.06947
435.6000	0.07045
435.4000	0.07131
435.2000	0.07235
435.0000	0.07309
434.8000	0.074
434.6000	0.07534
434.4000	0.07645
434.2000	0.07789
434.0000	0.07922
433.8000	0.08018
433.6000	0.08146
433.4000	0.08279
433.2000	0.08421
433.0000	0.08554
432.8000	0.08659
432.6000	0.08806
432.4000	0.08941
432.2000	0.09059
432.0000	0.09223
431.8000	0.09366
431.6000	0.09509
431.4000	0.09659
431.2000	0.09802
431.0000	0.09968
430.8000	0.10117
430.6000	0.10233
430.4000	0.10375
430.2000	0.10543
430.0000	0.10706
429.8000	0.10872
429.6000	0.11014
429.4000	0.11189
429.2000	0.11336
429.0000	0.11445
428.8000	0.11627
428.6000	0.11809
428.4000	0.11954
428.2000	0.12102
428.0000	0.1227
427.8000	0.12428
427.6000	0.12573
427.4000	0.12747
