TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:18:41
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00041
MAXY	-0.00015
MINY	-0.00936
XYDATA
516.0000	-0.00167
515.8000	-0.00153
515.6000	-0.00152
515.4000	-0.00166
515.2000	-0.00145
515.0000	-0.00155
514.8000	-0.00179
514.6000	-0.00147
514.4000	-0.00149
514.2000	-0.00174
514.0000	-0.00164
513.8000	-0.00169
513.6000	-0.00159
513.4000	-0.00153
513.2000	-0.00162
513.0000	-0.00162
512.8000	-0.00155
512.6000	-0.00141
512.4000	-0.0014
512.2000	-0.00166
512.0000	-0.0016
511.8000	-0.00152
511.6000	-0.0016
511.4000	-0.00155
511.2000	-0.00178
511.0000	-0.00176
510.8000	-0.00164
510.6000	-0.00168
510.4000	-0.00177
510.2000	-0.00179
510.0000	-0.00167
509.8000	-0.00174
509.6000	-0.00185
509.4000	-0.00182
509.2000	-0.00172
509.0000	-0.00183
508.8000	-0.00178
508.6000	-0.00182
508.4000	-0.00182
508.2000	-0.00169
508.0000	-0.00178
507.8000	-0.00176
507.6000	-0.00188
507.4000	-0.00187
507.2000	-0.00188
507.0000	-0.00184
506.8000	-0.00168
506.6000	-0.00189
506.4000	-0.00193
506.2000	-0.00171
506.0000	-0.00175
505.8000	-0.002
505.6000	-0.00192
505.4000	-0.00188
505.2000	-0.00201
505.0000	-0.00187
504.8000	-0.00177
504.6000	-0.00192
504.4000	-0.00194
504.2000	-0.00201
504.0000	-0.00206
503.8000	-0.00201
503.6000	-0.00194
503.4000	-0.00199
503.2000	-0.00209
503.0000	-0.00202
502.8000	-0.00195
502.6000	-0.00206
502.4000	-0.00203
502.2000	-0.00187
502.0000	-0.00187
501.8000	-0.00203
501.6000	-0.00204
501.4000	-0.00204
501.2000	-0.00225
501.0000	-0.00223
500.8000	-0.00214
500.6000	-0.00206
500.4000	-0.00216
500.2000	-0.00223
500.0000	-0.00206
499.8000	-0.00221
499.6000	-0.00217
499.4000	-0.00204
499.2000	-0.00202
499.0000	-0.00214
498.8000	-0.00242
498.6000	-0.00221
498.4000	-0.00208
498.2000	-0.00221
498.0000	-0.00226
497.8000	-0.00223
497.6000	-0.00223
497.4000	-0.00226
497.2000	-0.00222
497.0000	-0.00215
496.8000	-0.00223
496.6000	-0.0022
496.4000	-0.00221
496.2000	-0.00212
496.0000	-0.00204
495.8000	-0.00224
495.6000	-0.00241
