t_ref,V_ref,t_unf,V_unf
-294.609375,0.245154695,-73.65234375,1.18966355
-294.53125,0.246172119,-73.6328125,1.184576429
-294.453125,0.246850402,-73.61328125,1.184576429
-294.375,0.247528685,-73.59375,1.181524156
-294.296875,0.248546109,-73.57421875,1.186950419
-294.21875,0.24888525,-73.5546875,1.186611277
-294.140625,0.249224392,-73.53515625,1.183898146
-294.0625,0.250241816,-73.515625,1.186272136
-293.984375,0.250241816,-73.49609375,1.189324409
-293.90625,0.251598382,-73.4765625,1.186950419
-293.828125,0.251937523,-73.45703125,1.18966355
-293.75,0.252276664,-73.4375,1.18966355
-293.671875,0.252954947,-73.41796875,1.190002692
-293.59375,0.253972372,-73.3984375,1.188985267
-293.515625,0.254650654,-73.37890625,1.186950419
-293.4375,0.254989796,-73.359375,1.189324409
-293.359375,0.25600722,-73.33984375,1.18966355
-293.28125,0.256346362,-73.3203125,1.187967843
-293.203125,0.257024644,-73.30078125,1.181863297
-293.125,0.257363786,-73.28125,1.183898146
-293.046875,0.25838121,-73.26171875,1.183898146
-292.96875,0.259398634,-73.2421875,1.193733247
-292.890625,0.259737776,-73.22265625,1.191020116
-292.8125,0.260416059,-73.203125,1.180845873
-292.734375,0.2607552,-73.18359375,1.188985267
-292.65625,0.261772624,-73.1640625,1.191020116
-292.578125,0.262450907,-73.14453125,1.183219863
-292.5,0.262790049,-73.125,1.185932995
-292.421875,0.263468331,-73.10546875,1.189324409
-292.34375,0.263807473,-73.0859375,1.182880722
-292.265625,0.264146614,-73.06640625,1.183219863
-292.1875,0.264824897,-73.046875,1.192715823
-292.109375,0.265842321,-73.02734375,1.18728956
-292.03125,0.266859746,-73.0078125,1.177454459
-291.953125,0.267198887,-72.98828125,1.185932995
-291.875,0.26787717,-72.96875,1.186272136
-291.796875,0.268555453,-72.94921875,1.182880722
-291.71875,0.268894594,-72.9296875,1.184576429
-291.640625,0.269572877,-72.91015625,1.181524156
-291.5625,0.269912018,-72.890625,1.18966355
-291.484375,0.270590301,-72.87109375,1.185254712
-291.40625,0.270929443,-72.8515625,1.176776176
-291.328125,0.272286008,-72.83203125,1.184576429
-291.25,0.272286008,-72.8125,1.184576429
-291.171875,0.273642574,-72.79296875,1.186611277
-291.09375,0.273642574,-72.7734375,1.187628702
-291.015625,0.274659998,-72.75390625,1.183898146
-290.9375,0.27499914,-72.734375,1.18254158
-290.859375,0.275338281,-72.71484375,1.185254712
-290.78125,0.276016564,-72.6953125,1.187967843
-290.703125,0.277033988,-72.67578125,1.187628702
-290.625,0.277712271,-72.65625,1.179828449
-290.546875,0.277712271,-72.63671875,1.182202439
-290.46875,0.279068837,-72.6171875,1.18728956
-290.390625,0.279407978,-72.59765625,1.188306984
-290.3125,0.280086261,-72.578125,1.182880722
-290.234375,0.280764544,-72.55859375,1.188306984
-290.15625,0.281781968,-72.5390625,1.185932995
-290.078125,0.281781968,-72.51953125,1.18728956
-290,0.282121109,-72.5,1.191020116
-289.921875,0.282460251,-72.48046875,1.188306984
-289.84375,0.283477675,-72.4609375,1.18254158
-289.765625,0.284155958,-72.44140625,1.178471883
-289.6875,0.284155958,-72.421875,1.174741328
-289.609375,0.285173382,-72.40234375,1.188306984
-289.53125,0.285512524,-72.3828125,1.186611277
-289.453125,0.286190807,-72.36328125,1.182880722
-289.375,0.286190807,-72.34375,1.183559005
-289.296875,0.287208231,-72.32421875,1.183898146
-289.21875,0.288225655,-72.3046875,1.188985267
-289.140625,0.287886514,-72.28515625,1.185932995
-289.0625,0.288903938,-72.265625,1.180506732
-288.984375,0.289243079,-72.24609375,1.183898146
-288.90625,0.289243079,-72.2265625,1.18728956
-288.828125,0.290260504,-72.20703125,1.184237287
-288.75,0.291617069,-72.1875,1.184576429
-288.671875,0.291617069,-72.16796875,1.186272136
-288.59375,0.292295352,-72.1484375,1.182202439
-288.515625,0.292634493,-72.12890625,1.182880722
-288.4375,0.293651918,-72.109375,1.193054964
-288.359375,0.293991059,-72.08984375,1.186272136
-288.28125,0.294330201,-72.0703125,1.178471883
-288.203125,0.294330201,-72.05078125,1.182202439
-288.125,0.295347625,-72.03125,1.183559005
-288.046875,0.295347625,-72.01171875,1.18491557
-287.96875,0.296704191,-71.9921875,1.190341833
-287.890625,0.297382473,-71.97265625,1.187967843
-287.8125,0.297721615,-71.953125,1.183559005
-287.734375,0.298060756,-71.93359375,1.189324409
-287.65625,0.29907818,-71.9140625,1.185254712
-287.578125,0.29907818,-71.89453125,1.183898146
-287.5,0.299756463,-71.875,1.180845873
-287.421875,0.299756463,-71.85546875,1.193054964
-287.34375,0.300434746,-71.8359375,1.188646126
-287.265625,0.300773888,-71.81640625,1.19203754
-287.1875,0.30145217,-71.796875,1.181863297
-287.109375,0.302130453,-71.77734375,1.183898146
-287.03125,0.302130453,-71.7578125,1.195428954
-286.953125,0.302808736,-71.73828125,1.192715823
-286.875,0.303147878,-71.71875,1.186272136
-286.796875,0.30382616,-71.69921875,1.190680974
-286.71875,0.304504443,-71.6796875,1.195089813
-286.640625,0.304504443,-71.66015625,1.195428954
-286.5625,0.305182726,-71.640625,1.189324409
-286.484375,0.305182726,-71.62109375,1.191020116
-286.40625,0.305861009,-71.6015625,1.19203754
-286.328125,0.306539292,-71.58203125,1.191020116
-286.25,0.307556716,-71.5625,1.190680974
-286.171875,0.307895857,-71.54296875,1.193394106
-286.09375,0.308234999,-71.5234375,1.195089813
-286.015625,0.30857414,-71.50390625,1.187967843
-285.9375,0.309591565,-71.484375,1.185593853
-285.859375,0.310269847,-71.46484375,1.190341833
