TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:25:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00013
MAXY	0.00033
MINY	-0.00059
XYDATA
439.4000	-0.00023
439.2000	-0.00043
439.0000	-0.00045
438.8000	-0.00019
438.6000	-5.00002E-005
438.4000	-0.00021
438.2000	-0.0002
438.0000	9.99989E-006
437.8000	-5E-005
437.6000	-0.0003
437.4000	-0.00041
437.2000	-0.0002
437.0000	-0.00012
436.8000	-5.99999E-005
436.6000	-0.00016
436.4000	-0.00035
436.2000	-0.00032
436.0000	-0.00016
435.8000	-6.00001E-005
435.6000	-3E-005
435.4000	1.66446E-010
435.2000	-9.99998E-005
435.0000	-0.00038
434.8000	-0.00017
434.6000	-0.00015
434.4000	-0.00043
434.2000	-1.00002E-005
434.0000	-5.99999E-005
433.8000	-0.00027
433.6000	-3.00001E-005
433.4000	-8.00002E-005
433.2000	-0.00019
433.0000	-3E-005
432.8000	-0.00014
432.6000	-0.00025
432.4000	-0.00022
432.2000	-0.00025
432.0000	-2.00001E-005
431.8000	-0.00019
431.6000	-0.00019
431.4000	-9.99991E-006
431.2000	-5.99999E-005
431.0000	-8.00001E-005
430.8000	-0.00018
430.6000	-0.00031
430.4000	-0.00024
430.2000	-5.00002E-005
430.0000	-3E-005
429.8000	2.00001E-005
429.6000	4.00002E-005
429.4000	0.00015
429.2000	4.00002E-005
429.0000	-0.00025
428.8000	-0.00025
428.6000	-9.9998E-006
428.4000	-3E-005
428.2000	-0.00032
428.0000	-0.00042
427.8000	-0.00052
427.6000	-0.00032
427.4000	3.99999E-005
427.2000	7.99999E-005
427.0000	-6.00002E-005
426.8000	-0.00014
426.6000	-0.00013
426.4000	-5E-005
426.2000	-0.00013
426.0000	-9.99999E-005
425.8000	-1.99998E-005
425.6000	-0.00033
425.4000	-0.00028
425.2000	-0.0001
425.0000	-0.00017
424.8000	-0.00023
424.6000	-5.00002E-005
424.4000	3.99999E-005
424.2000	6E-005
424.0000	-0.0001
423.8000	-0.00023
423.6000	-2.99999E-005
423.4000	-0.0001
423.2000	-0.00049
423.0000	-0.00036
422.8000	-0.00015
422.6000	-0.0003
422.4000	-0.00032
422.2000	-0.00012
422.0000	-9.99999E-005
421.8000	-0.00013
421.6000	-3.00001E-005
421.4000	-0.00019
421.2000	-0.00031
421.0000	-0.00024
420.8000	5.99998E-005
420.6000	0.00016
420.4000	-7.00002E-005
420.2000	-5.00001E-005
420.0000	-0.00019
419.8000	-0.0001
419.6000	7.00001E-005
419.4000	6.99998E-005
419.2000	-0.00028
419.0000	-0.00042
418.8000	-0.00033
418.6000	-9.00001E-005
418.4000	-0.0001
418.2000	-0.00016
418.0000	1.63466E-010
417.8000	-0.00011
417.6000	-8.99998E-005
417.4000	-0.00014
417.2000	-0.00052
417.0000	-0.00025
416.8000	-6.00002E-005
416.6000	-2.00001E-005
416.4000	2.99999E-005
416.2000	-0.00026
416.0000	-0.00039
415.8000	-0.00016
415.6000	-0.00011
415.4000	-0.00034
415.2000	-0.00044
415.0000	-8.00001E-005
414.8000	-0.00013
414.6000	-0.00017
414.4000	0.00012
414.2000	-3.00002E-005
414.0000	-0.00011
413.8000	-0.00023
413.6000	-0.00039
413.4000	-0.00028
413.2000	-0.00018
413.0000	-0.00042
412.8000	-0.00011
412.6000	0.00015
412.4000	9.00001E-005
412.2000	-1.99998E-005
412.0000	-0.00033
