wl,baseline,buffer,gfp,yfp,lysozyme
514,-0.00164,-0.00021,0.0037,0.10874,0.02636
513.8,-0.00169,0.00013,0.00392,0.10939,0.02652
513.6,-0.00159,6.00E-05,0.00416,0.10972,0.02658
513.4,-0.00153,-0.00029,0.00418,0.11004,0.02635
513.2,-0.00162,-0.00012,0.00442,0.11054,0.02624
513,-0.00162,-0.0001,0.00433,0.11111,0.02654
512.8,-0.00155,-0.00027,0.00444,0.11154,0.02655
512.6,-0.00141,-0.00059,0.00455,0.11185,0.02614
512.4,-0.0014,-0.00052,0.00446,0.11215,0.02619
512.2,-0.00166,2.00E-05,0.00505,0.11268,0.02644
512,-0.0016,-0.0001,0.0054,0.11307,0.0262
511.8,-0.00152,-0.00024,0.0054,0.11324,0.02627
511.6,-0.0016,-7.00E-05,0.00573,0.1135,0.02644
511.4,-0.00155,-0.00027,0.00604,0.11385,0.02626
511.2,-0.00178,-4.00E-05,0.00623,0.11429,0.02665
511,-0.00176,-2.00E-05,0.00614,0.11437,0.02669
510.8,-0.00164,-0.0003,0.00631,0.11436,0.02644
510.6,-0.00168,-0.00025,0.00666,0.11453,0.02641
510.4,-0.00177,2.00E-05,0.0069,0.11474,0.02631
510.2,-0.00179,-7.00E-05,0.00728,0.11475,0.02632
510,-0.00167,-0.0003,0.00749,0.11465,0.02634
509.8,-0.00174,-0.00015,0.00766,0.1149,0.02631
509.6,-0.00185,-6.00E-05,0.00794,0.115,0.02644
509.4,-0.00182,-8.00E-05,0.00828,0.11467,0.02638
509.2,-0.00172,-0.00021,0.00853,0.11454,0.02619
509,-0.00183,-0.00018,0.00885,0.11479,0.0264
508.8,-0.00178,-0.00019,0.0091,0.11464,0.02617
508.6,-0.00182,-6.00E-05,0.00939,0.11468,0.02611
508.4,-0.00182,-0.00011,0.00963,0.11449,0.02613
508.2,-0.00169,-0.00021,0.0097,0.11416,0.02611
508,-0.00178,-0.0001,0.01023,0.11422,0.02627
507.8,-0.00176,-0.00012,0.01057,0.11407,0.02606
507.6,-0.00188,-3.00E-05,0.0108,0.11413,0.02615
507.4,-0.00187,-0.00014,0.01122,0.11402,0.02641
507.2,-0.00188,0.00011,0.0116,0.11381,0.02651
507,-0.00184,6.00E-05,0.01176,0.11343,0.02617
506.8,-0.00168,-0.00036,0.01196,0.11315,0.02594
506.6,-0.00189,-0.00016,0.01253,0.11324,0.02626
506.4,-0.00193,-0.00014,0.01297,0.11299,0.02622
